kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
11030475,"K02248.04","CANDIDATE",2.64622742,2.06e-05,-2.06e-05,1.407,155.5,0.99,0.07,-0.05,1082.0,324.38,0.478,8.40,5167.00,4.555,0.7870,292.239930,48.511570
4761060,"K02249.01","FALSE POSITIVE",13.37935853,8.93e-05,-8.93e-05,8.809,353.5,6.65,1.07,-2.49,1395.0,896.56,0.974,36.20,6739.00,3.712,2.7020,295.547120,39.861759
5942808,"K02250.01","CONFIRMED",2.935362067,5.061e-06,-5.061e-06,1.5043,1052.6,3.15,0.24,-0.32,1022.0,258.48,0.86,38.00,4922.00,4.505,0.8230,285.216670,41.282429
5942808,"K02250.02","CONFIRMED",0.626281766,1.041e-06,-1.041e-06,1.1812,433.1,1.76,0.13,-0.18,1711.0,2011.27,0.553,31.00,4922.00,4.505,0.8230,285.216670,41.282429
5479802,"K02251.01","FALSE POSITIVE",13.26255423,7.125e-05,-7.125e-05,4.65,916.4,3.55,1.09,-0.36,766.0,81.56,0.943,31.40,5973.00,4.506,0.9350,299.348850,40.621319
8099138,"K02338.01","CONFIRMED",66.1843646,0.0004536,-0.0004536,5.155,560.5,2.72,0.37,-0.21,436.0,8.57,0.877,21.30,5640.00,4.447,0.9780,292.369570,43.910809
7033233,"K02339.01","CONFIRMED",2.032318856,4.589e-06,-4.589e-06,1.1596,287.5,1.12,0.08,-0.03,1011.0,247.21,0.009,20.40,4670.00,4.635,0.6820,291.669280,42.590710
7021681,"K00255.03","FALSE POSITIVE",7.7333361,8.831e-05,-8.831e-05,2.807,126.9,0.57,0.04,-0.05,479.0,12.41,0.084,9.30,3780.00,4.746,0.5110,287.858120,42.542629
8681734,"K02340.01","CONFIRMED",7.68478504,3.077e-05,-3.077e-05,2.447,274.1,1.47,0.13,-0.11,830.0,112.06,0.045,21.40,5344.00,4.469,0.9070,288.834010,44.838249
10232693,"K02341.01","FALSE POSITIVE",0.990516282,2.976e-06,-2.976e-06,2.019,101.6,3.52,0.85,-2,2841.0,15469.83,0.989,20.40,5975.00,3.755,2.3990,299.849090,47.202560
10212441,"K02342.01","CONFIRMED",15.0447098,0.0001181,-0.0001181,5.823,97.9,1.51,0.25,-0.38,931.0,177.24,0.022,23.40,5798.00,4.025,1.5250,293.725860,47.247040
10212441,"K02342.02","FALSE POSITIVE",354.78194,0.01105,-0.01105,6.46,193,30.53,5.05,-7.56,325.0,2.62,1.17,7.70,5798.00,4.025,1.5250,293.725860,47.247040
10189557,"K02427.01","FALSE POSITIVE",2.93101771,2.302e-05,-2.302e-05,2.231,199.1,1.15,0.17,-0.15,1134.0,390.28,0.523,15.00,5485.00,4.500,0.7880,283.027250,47.249882
