kepoi_name,koi_disposition,target,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad
K02665.01,FALSE POSITIVE,0,1.112207126,1.35,54.7,0.73,1797.0,2467.09,0.402,13.0,6046.0,4.486,0.972
K02666.01,CANDIDATE,1,64.034363,9.174,758.8,3.47,411.0,6.72,0.985,16.9,5691.0,4.561,0.783
K02735.01,CONFIRMED,2,0.558841234,0.7918,280.9,1.33,1787.0,2412.15,0.307,26.3,5151.0,4.592,0.792
K02736.01,CONFIRMED,2,9.33648141,2.5449,885.4,2.39,577.0,26.22,0.901,23.1,4442.0,4.619,0.648
K00044.01,FALSE POSITIVE,0,66.46746217,19.6638,12643.7,11.97,466.0,11.18,0.116,1049.3,5843.0,4.403,1.073
K00285.01,CONFIRMED,2,13.74883059,6.0968,425.9,3.63,975.0,213.84,0.658,167.6,5862.0,4.05,1.67
K02737.01,FALSE POSITIVE,0,0.526615152,1.0582,64.0,1.46,2959.0,18152.32,0.028,40.9,5718.0,3.966,1.832
K02738.01,FALSE POSITIVE,0,0.690405794,1.7407,178.4,1.04,1731.0,2129.33,0.281,43.0,5204.0,4.515,0.786
K02739.01,CONFIRMED,2,10.10773789,3.828,294.9,1.98,879.0,140.75,0.151,25.3,5480.0,4.26,1.174
K02830.01,CONFIRMED,2,40.5289885,10.604,360.7,5.92,933.0,178.81,0.325,35.3,6443.0,3.74,3.086
K02831.01,FALSE POSITIVE,0,0.571940563,0.9031,54.3,1.88,3320.0,28727.59,0.792,22.8,5827.0,3.74,2.286
K00045.01,FALSE POSITIVE,0,6.397185875,5.8638,18887.0,15.02,981.0,218.59,0.755,394.7,5780.0,4.438,1.0
K00291.02,CONFIRMED,2,8.12999858,2.1492,148.0,2.04,1041.0,277.89,0.896,26.1,5611.0,4.144,1.4
K02832.01,CONFIRMED,2,3.57551429,2.364,92.8,0.89,1061.0,299.19,0.462,16.6,5213.0,4.434,0.917
K02833.01,CANDIDATE,1,1.791877025,1.166,46.1,1.48,2223.0,5787.99,0.403,12.5,6002.0,3.841,2.139
